model,feature,feature_label,metric_label,metric_source,class,early_layer,late_layer,layer0_mean,layer12_mean,delta_layer12_minus_layer0,abs_delta,pct_change_from_layer0,layer0_ci_low,layer0_ci_high,layer12_ci_low,layer12_ci_high,n_tokens,source_csv
GPT,index,Index,NLID,gride,2,0,12,0.9200477600097656,4.056240081787109,3.1361923217773438,3.1361923217773438,340.8727740116508,0.6968382596969604,1.4166322946548462,2.0220015048980717,5.824759483337402,9647,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT,index,Index,NLID,gride,3,0,12,0.6972896456718445,7.257888793945312,6.560599148273467,6.560599148273467,940.8714425914462,0.5355281829833984,0.9022497534751892,7.051634788513184,7.38709545135498,9800,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT,index,Index,NLID,gride,4,0,12,1.0292575359344482,7.570977210998535,6.541719675064087,6.541719675064087,635.5765633646737,0.7892056703567505,1.402064323425293,7.386378765106201,7.742295265197754,9932,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT,index,Index,NLID,gride,5,0,12,9.20240592956543,8.076960563659668,-1.1254453659057617,1.1254453659057617,-12.229903511319124,1.2515473365783691,23.780323028564453,7.935717582702637,8.217737197875977,9948,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT,index,Index,NLID,gride,6,0,12,4.188071250915527,7.868125915527344,3.6800546646118164,3.6800546646118164,87.86991538903125,0.8859531879425049,17.140012741088867,7.741747856140137,8.040057182312012,9972,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT,index,Index,NLID,gride,7,0,12,1.4265615940093994,7.818207740783691,6.391646146774292,6.391646146774292,448.0455785165473,0.8460137248039246,5.148326396942139,7.698750495910644,7.933435440063477,9559,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT,index,Index,NLID,gride,8,0,12,2.5915021896362305,7.949030876159668,5.3575286865234375,5.3575286865234375,206.73448426742306,0.8912251591682434,8.28996467590332,7.831079483032227,8.045859336853027,9142,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT,index,Index,NLID,gride,9,0,12,2.2521958351135254,7.89093542098999,5.638739585876465,5.638739585876465,250.3663090910669,1.1346510648727417,8.782130241394043,7.767203330993652,8.066118240356445,8704,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT,index,Index,NLID,gride,10,0,12,3.961140394210816,8.10529613494873,4.144155740737915,4.144155740737915,104.6202691223612,3.755892515182495,4.131722450256348,7.986214637756348,8.254128456115723,108145,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT,length,Length,IsoScore,iso,1,0,12,0.0029498422518372,0.0017120417905971,-0.0012378004612400998,0.0012378004612400998,-41.9615815208146,0.0028964453376829,0.0030143889598548,0.0016998648643493,0.0017232849495485,29626,gpt2/tables_LENGTH/length_bootstrap/length_raw_iso_gpt2.csv
